LOVID,LOVName,value
Eco_LOV_3790,Wrench Type,Inside/Out
Eco_LOV_3790,Wrench Type,Service
Eco_LOV_3790,Wrench Type,Clean Outlet
Eco_LOV_3790,Wrench Type,Strap
Eco_LOV_3790,Wrench Type,Drain
Eco_LOV_3790,Wrench Type,Socket
Eco_LOV_1579,Vent Type,Chimney Vent/Direct Vent
Eco_LOV_1579,Vent Type,Natural Draft Vent
Eco_LOV_1579,Vent Type,Power Direct Vent
Eco_LOV_1579,Vent Type,Standard
Eco_LOV_1579,Vent Type,Gas Vent
Eco_LOV_1579,Vent Type,Power Vent/Power Direct Vent
Eco_LOV_1579,Vent Type,1-Way Vent
Eco_LOV_1579,Vent Type,Direct Vent/Non Direct Vent
Eco_LOV_1579,Vent Type,External
Eco_LOV_1579,Vent Type,B-Vent/Direct Vent
Eco_LOV_1579,Vent Type,3-Way Vent
Eco_LOV_1579,Vent Type,4-Way Vent
Eco_LOV_1579,Vent Type,Top Direct Vent"
Eco_LOV_1579,Vent Type,Recirculating
Eco_LOV_1579,Vent Type,Direct Vent
Eco_LOV_1579,Vent Type,Retractable
Eco_LOV_1579,Vent Type,Twin Pipe
Eco_LOV_1579,Vent Type,Ductless
Eco_LOV_1579,Vent Type,B-Vent/L-Vent
Eco_LOV_1579,Vent Type,Convertible
Eco_LOV_1579,Vent Type,B-Vent
Eco_LOV_1579,Vent Type,Exhaust
Eco_LOV_1579,Vent Type,Power Vent
Eco_LOV_1579,Vent Type,Rear Direct Vent
Eco_LOV_1579,Vent Type,Ducted/Ductless
Eco_LOV_1579,Vent Type,Built-in
Eco_LOV_1579,Vent Type,Concentric
Eco_LOV_1579,Vent Type,Island
Eco_LOV_1579,Vent Type,2-Way Vent
Eco_LOV_1579,Vent Type,Updraft
Eco_LOV_1579,Vent Type,Ducted
Eco_LOV_1579,Vent Type,Side Vent
Eco_LOV_1579,Vent Type,Non Direct Vent
Eco_LOV_1579,Vent Type,Automatic Vent
Eco_LOV_1579,Vent Type,Direct Vent/Natural Draft Vent
Eco_LOV_1579,Vent Type,Chimney Vent
Eco_LOV_1579,Vent Type,Vent Free
Eco_LOV_458,Vent Installation Type,Undermount
Eco_LOV_458,Vent Installation Type,Semi-Rigid
Eco_LOV_458,Vent Installation Type,Flush Mount
Eco_LOV_458,Vent Installation Type,Flexible
Eco_LOV_458,Vent Installation Type,Roof
Eco_LOV_54,Vent Duct Shape - FEI,Spiral
Eco_LOV_54,Vent Duct Shape - FEI,T-Shape
Eco_LOV_54,Vent Duct Shape - FEI,Round
Eco_LOV_54,Vent Duct Shape - FEI,Oval to Round
Eco_LOV_54,Vent Duct Shape - FEI,Round to Rectangular
Eco_LOV_54,Vent Duct Shape - FEI,Oval to Rectangular
Eco_LOV_54,Vent Duct Shape - FEI,Round to Square
Eco_LOV_54,Vent Duct Shape - FEI,Square to Round
Eco_LOV_54,Vent Duct Shape - FEI,Rectangular
Eco_LOV_54,Vent Duct Shape - FEI,Flat
Eco_LOV_54,Vent Duct Shape - FEI,Square
Eco_LOV_54,Vent Duct Shape - FEI,Oval
Eco_LOV_209,Vent Duct Material - FEI,Galvalume<REG/>
Eco_LOV_209,Vent Duct Material - FEI,Galvanized
Eco_LOV_209,Vent Duct Material - FEI,Aluminum
Eco_LOV_209,Vent Duct Material - FEI,Polypropyelene
Eco_LOV_209,Vent Duct Material - FEI,Steel
Eco_LOV_209,Vent Duct Material - FEI,Zinc-plated Steel
Eco_LOV_209,Vent Duct Material - FEI,Polypropylene
Eco_LOV_209,Vent Duct Material - FEI,Stainless Steel
Eco_LOV_209,Vent Duct Material - FEI,Galvanized Steel
Eco_LOV_209,Vent Duct Material - FEI,Plastic
Eco_LOV_209,Vent Duct Material - FEI,Metal
Ven Type,Ven Type,TOOL
Ven Type,Ven Type,PLB-R
Ven Type,Ven Type,MILL
Ven Type,Ven Type,IRR
Ven Type,Ven Type,FEL
Ven Type,Ven Type,H/C
Ven Type,Ven Type,SAFET
Ven Type,Ven Type,BUILD
Ven Type,Ven Type,WWORK
Ven Type,Ven Type,MIGR
Ven Type,Ven Type,INDUS
Ven Type,Ven Type,WSYS
Ven Type,Ven Type,ELEC
Ven Type,Ven Type,PLB-F
Ven Type,Ven Type,LIGHT
Ven Type,Ven Type,IP
Ven Type,Ven Type,PVF
Ven Type,Ven Type,CHEM
Eco_LOV_286,Vehicle Rack Type,Cargo Bag
Eco_LOV_286,Vehicle Rack Type,Van Rack
Eco_LOV_286,Vehicle Rack Type,Truck Rack
Eco_LOV_286,Vehicle Rack Type,Cargo Rack
Eco_LOV_286,Vehicle Rack Type,Cargo Basket
Eco_LOV_3723,Variable Speed,No
Eco_LOV_3723,Variable Speed,Yes
Eco_LOV_1576,Vanity Top Shape,Rectangle
Eco_LOV_1576,Vanity Top Shape,Round
Eco_LOV_1576,Vanity Top Shape,Circle
Eco_LOV_1576,Vanity Top Shape,Triangle
Eco_LOV_1576,Vanity Top Shape,Other
Eco_LOV_1576,Vanity Top Shape,Oval
Eco_LOV_1576,Vanity Top Shape,Square
Eco_LOV_1066,Vandal Resistant,Yes
