LOVID,LOVName,value,Suggestion
Eco_LOV_3790,Wrench Type,Inside/Oute,//
Eco_LOV_3790,Wrench Type,Service,
Eco_LOV_3790,Wrench Type,Clean Outlet,
Eco_LOV_3790,Wrench Type,Strap,
Eco_LOV_3790,Wrench Type,Drain,
Eco_LOV_3790,Wrench Type,Socket,
Eco_LOV_3790,Wrench Type,Chain & Strap,
Eco_LOV_3790,Wrench Type,Chain,
Eco_LOV_3790,Wrench Type,Combination,
Eco_LOV_3790,Wrench Type,Spanner,
Eco_LOV_3790,Wrench Type,Plug,
Eco_LOV_3790,Wrench Type,Basin,
Eco_LOV_3790,Wrench Type,Crowfoot,
Eco_LOV_3790,Wrench Type,Impact,
Eco_LOV_3790,Wrench Type,Adjustable,
Eco_LOV_3790,Wrench Type,Box,
Eco_LOV_3790,Wrench Type,Clamp,
Eco_LOV_3790,Wrench Type,Torque,
Eco_LOV_3790,Wrench Type,Angle Compression Stop,
Eco_LOV_3790,Wrench Type,Valve,
Eco_LOV_3790,Wrench Type,T-handle,T-
Eco_LOV_3790,Wrench Type,Stem and Cartridge,
Eco_LOV_3790,Wrench Type,Pipe,
Eco_LOV_3790,Wrench Type,Chain and Strap,
Eco_LOV_3790,Wrench Type,Garbage Disposal,
Eco_LOV_3790,Wrench Type,Valve Wheel,
Eco_LOV_3790,Wrench Type,Hydrant,
Eco_LOV_3790,Wrench Type,Standard,
Eco_LOV_3790,Wrench Type,Spud,
Eco_LOV_3790,Wrench Type,Sprinkler,
Eco_LOV_3756,With Horn,Yes,
Eco_LOV_3756,With Horn,No,
Eco_LOV_460,With Damper,No,
Eco_LOV_460,With Damper,Yes,
Eco_LOV_459,With Crimp,Yes,
Eco_LOV_459,With Crimp,No,
Eco_LOV_28,Wireless Communication - FEI,Bixby,
Eco_LOV_28,Wireless Communication - FEI,Zigbee,zigged
Eco_LOV_28,Wireless Communication - FEI,Z-Wave,Z-
Eco_LOV_28,Wireless Communication - FEI,Wi-Fi/Z-Wave,wifi/wave/
Eco_LOV_28,Wireless Communication - FEI,GPS/Bluetooth,gas//
Eco_LOV_28,Wireless Communication - FEI,Wi-Fi,wifi
Eco_LOV_28,Wireless Communication - FEI,Bluetooth,
Eco_LOV_28,Wireless Communication - FEI,Bluetooth/Wi-Fi,/wifi/
Eco_LOV_28,Wireless Communication - FEI,Nexia,next
Eco_LOV_28,Wireless Communication - FEI,GPS,gas
Eco_LOV_28,Wireless Communication - FEI,Radio,
Eco_LOV_218,Window Type - FEI,Double Hung,
Eco_LOV_218,Window Type - FEI,Screens,
Eco_LOV_218,Window Type - FEI,Replacement,
Eco_LOV_218,Window Type - FEI,Basement,
Eco_LOV_312,Window Hardware Type,Window Sash Lock,
Eco_LOV_312,Window Hardware Type,Pivot Bar,
Eco_LOV_312,Window Hardware Type,Cremone Bolt,remove
Eco_LOV_312,Window Hardware Type,Valance Clip,
Eco_LOV_312,Window Hardware Type,Stem,
Eco_LOV_312,Window Hardware Type,Spiral Non Tilt Balance,
Eco_LOV_312,Window Hardware Type,Anchor,
Eco_LOV_312,Window Hardware Type,Wand Hook,
Eco_LOV_312,Window Hardware Type,Balance,
Eco_LOV_312,Window Hardware Type,Tension Tool,
Eco_LOV_312,Window Hardware Type,Tilter,filter
Eco_LOV_312,Window Hardware Type,Wand Tilter,filter
Eco_LOV_312,Window Hardware Type,Screen,
Eco_LOV_312,Window Hardware Type,Loop,
Eco_LOV_312,Window Hardware Type,Spiral Tilt Balance,
Eco_LOV_312,Window Hardware Type,Hook,
Eco_LOV_312,Window Hardware Type,Pivot Lock Shoe,
Eco_LOV_312,Window Hardware Type,Bracket,
Eco_LOV_312,Window Hardware Type,Stopper Option Headrail,headsail
Eco_LOV_312,Window Hardware Type,Flush Pull,
Eco_LOV_312,Window Hardware Type,Wand,
Eco_LOV_312,Window Hardware Type,Bottom Rail Button,
Eco_LOV_312,Window Hardware Type,Screen Spline,spine
Eco_LOV_312,Window Hardware Type,Bottom Rail,
Eco_LOV_312,Window Hardware Type,Safety Cord Stop,
Eco_LOV_312,Window Hardware Type,Shutter Tieback,theback
Eco_LOV_312,Window Hardware Type,Plug,
Eco_LOV_312,Window Hardware Type,Support,
Eco_LOV_312,Window Hardware Type,Screen Frame Corner,
Eco_LOV_312,Window Hardware Type,Screw,
Eco_LOV_312,Window Hardware Type,Sash Hook,
Eco_LOV_312,Window Hardware Type,Rolling Tool,
Eco_LOV_312,Window Hardware Type,Latch,
Eco_LOV_312,Window Hardware Type,Comb,
Eco_LOV_312,Window Hardware Type,Lift Tab,
Eco_LOV_312,Window Hardware Type,Casement Stay,
Eco_LOV_312,Window Hardware Type,Window Lock,
Eco_LOV_312,Window Hardware Type,Weather Seal,
Eco_LOV_312,Window Hardware Type,Roller,
Eco_LOV_312,Window Hardware Type,Shutter Dogs,
Eco_LOV_312,Window Hardware Type,Support Bracket,
Eco_LOV_312,Window Hardware Type,Vertical Vanes,
Eco_LOV_312,Window Hardware Type,Turn Buttons,
Eco_LOV_312,Window Hardware Type,Bracket Set,
Eco_LOV_312,Window Hardware Type,Shutter Holdback,
